biz_name,biz_info,e_address,e_city,e_state,e_postal,e_country,loc_county,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,biz_phone,biz_email,web_url,img_url,c_type,c_years,c_setting,c_housing,c_pop,c_ratio,c_tuition,oos_tuition,rank,acceptance_rate,majors,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8
New York College of Podiatric Medicine,,53 East 124 Street,New York,NY,10035,USA,New York,36061,,5600,EST,Y,(212) 410-8000,,http://www.nycpm.edu,,Private (Not For Profit),4 Years,City: Large,1,344,,,,,,,,,,,,,,
New York College of Traditional Chinese Medicine,Bachelor's degree;Master's degree;Post-master's certificate,155 1st St,Mineola,NY,11501,USA,Nassau,36059,,5380,EST,Y,(516) 739-1545,,http://www.nyctcm.edu,,Private (Not For Profit),4 Years,Suburb: Large,0,147,9 to 1,,,,,,,,,,,,,
New York Institute of Technology,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Northern Blvd,Old Westbury,NY,11568,USA,Nassau,36059,,5380,EST,Y,(516) 686-7516,,http://www.nyit.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,9171,17 to 1,,,,,,,,,,,,,
New York Institute of Technology,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,1855 Broadway,New York,NY,10023,USA,New York,36061,,5600,EST,Y,(212) 261-1500,,http://www.nyit.edu,,Private (Not For Profit),4 Years,Suburb: Large,,,,,,,,,,,,,,,,
New York Law School,Master's degree;Post-master's certificate,185 West Broadway,New York,NY,10013,USA,New York,36061,,5600,EST,Y,(212) 431-2100,,http://www.nyls.edu,,Private (Not For Profit),4 Years,City: Large,1,1856,,,,,,,,,,,,,,
New York Medical College,Postbaccalaureate certificate;Master's degree,Administration Bldg,White Plains,NY,10603,USA,Westchester,36119,,5600,EST,Y,(914) 594-4000,,http://www.WWW.NYMC.EDU,,Private (Not For Profit),4 Years,Suburb: Large,1,1454,,,,,,,,,,,,,,
New York Theological Seminary,Master's degree,475 Riverside Dr Ste 500,New York,NY,10115,USA,New York,36061,,5600,EST,Y,(212) 870-1211,,http://www.nyts.edu,,Private (Not For Profit),4 Years,,0,,,,,,,,,,,,,,,
New York University,Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,70 Washington Sq South,New York,NY,10012,USA,New York,36061,,5600,EST,Y,(212) 998-1212,,http://www.nyu.edu,,Private (Not For Profit),4 Years,City: Large,1,43404,11 to 1,,,,,,,,,,,,,
Newberry College,Bachelor's degree,2100 College St,Newberry,SC,29108,USA,Newberry,45071,,,EST,Y,(803) 276-5010,,http://www.newberry.edu,,Private (Not For Profit),4 Years,Town: Distant,1,1103,17 to 1,,,,,,,,,,,,,
Newbury College-Brookline,Less than one year certificate;Associate's degree;Bachelor's degree,129 Fisher Ave,Brookline,MA,2445,USA,Norfolk,25021,,1120,EST,Y,(617) 730-7000,,http://www.newbury.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,994,16 to 1,,,,,,,,,,,,,
Newman University,Associate's degree;Bachelor's degree;Master's degree,3100 McCormick St,Wichita,KS,67213,USA,Sedgwick,20173,9040,,CST,Y,(316) 942-4291,,http://www.newmanu.edu,,Private (Not For Profit),4 Years,City: Large,1,2557,14 to 1,,,,,,,,,,,,,
Newschool of Architecture and Design,Two but less than 4 years certificate;Bachelor's degree;Master's degree,1249 F St,San Diego,CA,92101,USA,San Diego,6073,7320,,PST,Y,(619) 684-8800,,http://www.newschoolarch.edu,,Private (For Profit),4 Years,City: Large,0,598,10 to 1,,,,,,,,,,,,,
Niagara University,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,"PO Box 9998, Niagara Univ",NIAGARA UNIV,NY,14109,USA,Niagara,36063,1280,,EST,Y,(716) 285-1212,,http://www.niagara.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,4202,14 to 1,,,,,,,,,,,,,
Nicholls State University,Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,University Station La Hwy 1,Thibodaux,LA,70310,USA,Lafourche,22057,3350,,CST,Y,(877) 642-4655,,http://www.nicholls.edu,,Public,4 Years,City: Small,1,7169,21 to 1,,,,,,,,,,,,,
Nichols College,One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,Center Rd,Dudley,MA,1571,USA,Worcester,25027,,9240,EST,Y,(508) 213-1560,,http://www.nichols.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,1552,16 to 1,,,,,,,,,,,,,
Norfolk State University,Associate's degree;Bachelor's degree;Master's degree,700 Park Ave,Norfolk,VA,23504,USA,Norfolk City,51710,5720,,EST,Y,(757) 823-8600,,http://www.nsu.edu,,Public,4 Years,City: Midsize,1,6993,20 to 1,,,,,,,,,,,,,
North Carolina A & T State University,Bachelor's degree;Postbaccalaureate certificate;Master's degree,1601 E Market St,Greensboro,NC,27401,USA,Guilford,37081,3120,,EST,Y,(336) 334-7500,,http://www.ncat.edu,,Public,4 Years,City: Midsize,1,10614,16 to 1,,,,,,,,,,,,,
North Carolina Central University,Bachelor's degree;Postbaccalaureate certificate;Master's degree,1801 Fayetteville St,Durham,NC,27707,USA,Durham,37063,6640,,EST,Y,(919) 530-6100,,http://www.nccu.edu,,Public,4 Years,City: Midsize,1,8587,15 to 1,,,,,,,,,,,,,
North Carolina State University at Raleigh,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,2101 Hillsborough St,Raleigh,NC,27607,USA,Wake,37183,6640,,EST,Y,(919) 515-2011,,http://www.ncsu.edu,,Public,4 Years,City: Large,1,33819,17 to 1,,,,,,,,,,,,,
North Carolina Wesleyan College,Bachelor's degree,3400 N Wesleyan Blvd,Rocky Mt,NC,27804,USA,Nash,37127,6895,,EST,Y,(252) 985-5100,,http://www.ncwc.edu,,Private (Not For Profit),4 Years,City: Small,1,1449,13 to 1,,,,,,,,,,,,,
North Central College,Bachelor's degree;Postbaccalaureate certificate;Master's degree,30 N Brainard St,Naperville,IL,60540,USA,DuPage,17043,,1600,CST,Y,(630) 637-5100,,http://www.northcentralcollege.edu,,Private (Not For Profit),4 Years,City: Midsize,1,2798,15 to 1,,,,,,,,,,,,,
North Central University,Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree,910 Elliot Ave,Minneapolis,MN,55404,USA,Hennepin,27053,5120,,CST,Y,(612) 343-4400,,http://www.northcentral.edu,,Private (Not For Profit),4 Years,City: Large,1,1243,16 to 1,,,,,,,,,,,,,
North Dakota State University-Main Campus,Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,1301 12th Ave N,Fargo,ND,58102,USA,Cass,38017,2520,,CST,Y,(701) 231-8011,,http://www.ndsu.edu,,Public,4 Years,City: Small,1,14189,19 to 1,,,,,,,,,,,,,
North Georgia College & State University,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,82 College Circle,Dahlonega,GA,30597,USA,Lumpkin,13187,,,EST,Y,(706) 864-1400,,http://www.northgeorgia.edu,,Public,4 Years,Town: Distant,1,5652,20 to 1,,,,,,,,,,,,,
North Greenville University,Bachelor's degree;Master's degree,7801 N Tigerville Rd,Tigerville,SC,29687,USA,Greenville,45045,3160,,EST,Y,(864) 977-7000,,http://www.ngu.edu,,Private (Not For Profit),4 Years,Rural: Distant,1,2260,15 to 1,,,,,,,,,,,,,
North Park University,Bachelor's degree;Master's degree;Post-master's certificate,3225 W Foster Ave,Chicago,IL,60625,USA,Cook,17031,,1600,CST,Y,(773) 244-6200,,http://www.northpark.edu,,Private (Not For Profit),4 Years,City: Large,1,3186,13 to 1,,,,,,,,,,,,,
Northcentral University,Bachelor's degree;Master's degree,10000 E. University Dr,Prescott Valley,AZ,86314,USA,Yavapai,4025,,,MST,N,(888) 327-2877,,http://www.ncu.edu,,Private (For Profit),4 Years,Suburb: Small,0,8376,24 to 1,,,,,,,,,,,,,
Northeastern Illinois University,Bachelor's degree;Master's degree,5500 N St Louis Ave,Chicago,IL,60625,USA,Cook,17031,,1600,CST,Y,(773) 583-4050,,http://www.neiu.edu/,,Public,4 Years,City: Large,0,11631,17 to 1,,,,,,,,,,,,,
Northeastern Ohio Universities Colleges of Medicine and Pharmacy,,4209 Ohio 44,Rootstown,OH,44272,USA,Portage,39133,,80,EST,Y,(330) 325-2511,,http://www.neoucom.edu,,Public,4 Years,Rural: Fringe,0,690,,,,,,,,,,,,,,
Northeastern Seminary,Master's degree,2265 Westside Dr,North Chili,NY,14514,USA,Monroe,36055,6840,,EST,Y,(585) 594-6000,,http://www.nes.edu/,,Private (Not For Profit),4 Years,Suburb: Large,0,106,,,,,,,,,,,,,,
Northeastern State University,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,600 N Grand Ave,Tahlequah,OK,74464,USA,Cherokee,40021,,,CST,Y,(918) 456-5511,,http://www.nsuok.edu,,Public,4 Years,Town: Remote,1,9239,20 to 1,,,,,,,,,,,,,
Northeastern University,One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,360 Huntington Ave,Boston,MA,2115,USA,Suffolk,25025,,1120,EST,Y,(617) 373-2000,,http://www.northeastern.edu,,Private (Not For Profit),4 Years,City: Large,1,27537,15 to 1,,,,,,,,,,,,,
Northern Arizona University,Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,Knoles Drive Babbitt Administrative Center,Flagstaff,AZ,86011,USA,Coconino,4005,2620,,MST,N,(928) 523-9011,,http://www.home.nau.edu/,,Public,4 Years,City: Small,1,23597,19 to 1,,,,,,,,,,,,,
Northern Baptist Theological Seminary,Less than one year certificate;Two but less than 4 years certificate;Postbaccalaureate certificate;Master's degree;Post-master's certificate,660 Butterfield Rd,Lombard,IL,60148,USA,DuPage,17043,,1600,CST,Y,(630) 620-2180,,http://www.seminary.edu,,Private (Not For Profit),4 Years,,1,137,,,,,,,,,,,,,,
Northern Illinois University,Bachelor's degree;Master's degree;Post-master's certificate,1425 W Lincoln Hwy,DeKalb,IL,60115,USA,DeKalb,17037,,1600,CST,Y,(800) 892-3050,,http://www.niu.edu,,Public,4 Years,Suburb: Small,1,24424,17 to 1,,,,,,,,,,,,,
Northern Kentucky University,Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Nunn Drive,Highland Heights,KY,41099,USA,Campbell,21037,,1640,EST,Y,(859) 572-5100,,http://www.nku.edu,,Public,4 Years,Suburb: Large,1,15378,16 to 1,,,,,,,,,,,,,
Northern Michigan University,Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,1401 Presque Isle Ave,Marquette,MI,49855,USA,Marquette,26103,,,EST,Y,(906) 227-1000,,http://www.nmu.edu,,Public,4 Years,Rural: Fringe,1,9428,23 to 1,,,,,,,,,,,,,
Northern State University,Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,1200 N Jay St,Aberdeen,SD,57401,USA,Brown,46013,,,CST,Y,(605) 626-3011,,http://www.northern.edu,,Public,4 Years,Town: Remote,1,2625,17 to 1,,,,,,,,,,,,,
Northland College,Bachelor's degree,1411 Ellis Ave,Ashland,WI,54806,USA,Ashland,55003,,,CST,Y,(715) 682-1699,,http://www.northland.edu,,Private (Not For Profit),4 Years,Town: Remote,1,612,12 to 1,,,,,,,,,,,,,
Northland International University,Associate's degree;Bachelor's degree;Master's degree,10085 Pike Plains Rd,Dunbar,WI,54119,USA,Marinette,55075,,,CST,Y,(715) 324-6900,,http://www.ni.edu,,Private (Not For Profit),4 Years,Rural: Remote,1,615,17 to 1,,,,,,,,,,,,,
NorthShore University HealthSystem School of Nurse Anesthesia,Postbaccalaureate certificate;Post-master's certificate,2650 Ridge Ave Rm G603C,Evanston,IL,60201,USA,Cook,17031,,1600,CST,Y,(847) 570-1959,,http://www.northshore.org/academics/other-programs/school-of-nurse-anesthesia/,,Private (Not For Profit),4 Years,City: Small,0,63,,,,,,,,,,,,,,
Northwest Christian University,Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,828 E 11th Ave,Eugene,OR,97401,USA,Lane,41039,2400,,PST,Y,(541) 343-1641,,http://www.northwestchristian.edu/,,Private (Not For Profit),4 Years,City: Midsize,1,557,16 to 1,,,,,,,,,,,,,
Northwest College of Art,Two but less than 4 years certificate;Bachelor's degree,16301 Creative Dr NE,Poulsbo,WA,98370,USA,Kitsap,53035,,1150,PST,Y,(360) 779-9993,,http://www.NCA.edu,,Private (For Profit),4 Years,Rural: Fringe,0,104,21 to 1,,,,,,,,,,,,,
Northwest Missouri State University,One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,800 University Dr,Maryville,MO,64468,USA,Nodaway,29147,,,CST,Y,(660) 562-1212,,http://www.nwmissouri.edu,,Public,4 Years,Town: Distant,1,7076,21 to 1,,,,,,,,,,,,,
Northwest Nazarene University,Bachelor's degree;Master's degree;Post-master's certificate,623 Holly St,Nampa,ID,83686,USA,Canyon,16027,1080,,MST,Y,(208) 467-8011,,http://www.nnu.edu,,Private (Not For Profit),4 Years,City: Small,1,1950,13 to 1,,,,,,,,,,,,,
Northwest University,Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,5520 108th Ave NE,Kirkland,WA,98033,USA,King,53033,,7600,PST,Y,(425) 822-8266,,http://www.northwestu.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,1383,15 to 1,,,,,,,,,,,,,
Northwestern College,Bachelor's degree,101 7th St SW,Orange City,IA,51041,USA,Sioux,19167,,,CST,Y,(712) 707-7000,,http://www.nwciowa.edu/,,Private (Not For Profit),4 Years,Rural: Fringe,1,1206,14 to 1,,,,,,,,,,,,,
Northwestern College,One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,3003 Snelling Ave N,St Paul,MN,55113,USA,Ramsey,27123,5120,,CST,Y,(651) 631-5100,,http://www.nwc.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,3070,16 to 1,,,,,,,,,,,,,
Northwestern Health Sciences University,One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,2501 W 84th St,Bloomington,MN,55431,USA,Hennepin,27053,5120,,CST,Y,(952) 888-4777,,http://www.nwhealth.edu/,,Private (Not For Profit),4 Years,City: Small,0,867,7 to 1,,,,,,,,,,,,,
Northwestern Oklahoma State University,Bachelor's degree;Master's degree;Post-master's certificate,E Oklahoma Blvd,Alva,OK,73717,USA,Woods,40151,,,CST,Y,(580) 327-1700,,http://www.nwosu.edu,,Public,4 Years,Town: Remote,1,2210,16 to 1,,,,,,,,,,,,,
Northwestern Polytechnic University,Bachelor's degree;Master's degree,47671 Westinghouse Dr,Fremont,CA,94539,USA,Alameda,6001,,5775,PST,Y,(510) 657-5913,,http://www.npu.edu,,Private (Not For Profit),4 Years,Rural: Fringe,0,988,12 to 1,,,,,,,,,,,,,
Northwestern State University of Louisiana,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,College Ave,Natchitoches,LA,71457,USA,Natchitoches,22069,,,CST,Y,(318) 357-6011,,http://www.nsula.edu/,,Public,4 Years,Town: Remote,1,9247,18 to 1,,,,,,,,,,,,,
Northwestern University,One but less than two years certificate;Bachelor's degree;Master's degree;Post-master's certificate,633 Clark St,Evanston,IL,60208,USA,Cook,17031,,1600,CST,Y,(847) 491-3741,,http://www.northwestern.edu,,Private (Not For Profit),4 Years,City: Small,1,19853,7 to 1,,,,,,,,,,,,,
Northwood University,Associate's degree;Bachelor's degree;Master's degree,4000 Whiting Dr,Midland,MI,48640,USA,Midland,26111,6960,,EST,Y,(989) 837-4200,,http://www.northwood.edu,,Private (Not For Profit),4 Years,Town: Fringe,1,3801,19 to 1,,,,,,,,,,,,,
Northwood University,Associate's degree;Bachelor's degree;Master's degree,1114 W Fm 1382,Cedar Hill,TX,75104,USA,Dallas,48113,,1920,CST,Y,(972) 291-1541,,http://www.northwood.edu,,Private (Not For Profit),4 Years,Rural: Fringe,1,930,20 to 1,,,,,,"Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,"Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma - anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution."," Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.",,,
Northwood University-Florida Education Center,Associate's degree;Bachelor's degree;Master's degree,2600 N Military Trail,West Palm Beach,FL,33409,USA,Palm Beach,12099,8960,,EST,Y,(561) 478-5500,,http://www.northwood.edu,,Private (Not For Profit),4 Years,City: Small,1,731,16 to 1,,,,,,,,,,,,,
Norwich University,Bachelor's degree;Master's degree,158 Harmon Dr,Northfield,VT,5663,USA,Washington,50023,,,EST,Y,(802) 485-2000,,http://www.norwich.edu,,Private (Not For Profit),4 Years,Town: Distant,1,3378,15 to 1,,,,,,,,,,,,,
Notre Dame College,Associate's degree;Bachelor's degree;Master's degree,4545 College Rd,Cleveland,OH,44121,USA,Cuyahoga,39035,,1680,EST,Y,(216) 381-1680,,http://www.notredamecollege.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,1872,16 to 1,,,,,,,,,,,,,
Notre Dame de Namur University,Bachelor's degree;Postbaccalaureate certificate;Master's degree,1500 Ralston Ave,Belmont,CA,94002,USA,San Mateo,6081,,7360,PST,Y,(650) 508-3500,,http://www.ndnu.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,1613,11 to 1,,,,,,,,,,,,,
Notre Dame Seminary Graduate School of Theology,Master's degree,2901 S Carrollton Ave,New Orleans,LA,70118,USA,Orleans,22071,5560,,CST,Y,(504) 866-7426,,http://www.nds.edu,,Private (Not For Profit),4 Years,City: Midsize,1,112,,,,,,,,,,,,,,
Nova Southeastern University,Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,3301 College Ave,Fort Lauderdale,FL,33314,USA,Broward,12011,,2680,EST,Y,(954) 262-7300,,http://www.nova.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,29153,22 to 1,,,,,,,,,,,,,
Nyack College,Associate's degree;Bachelor's degree;Master's degree,1 South Blvd,Nyack,NY,10960,USA,Rockland,36087,,5600,EST,Y,(845) 675-4400,,http://www.nyack.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,3151,15 to 1,,,,,,,,,,,,,
O'More College of Design,Bachelor's degree,423 S Margin St,Franklin,TN,37064,USA,Williamson,47187,5360,,CST,Y,(615) 794-4254,,http://www.omorecollege.edu,,Private (Not For Profit),4 Years,City: Small,0,182,8 to 1,,,,,,,,,,,,,
Oak Hills Christian College,One but less than two years certificate;Associate's degree;Bachelor's degree,1600 Oak Hills Rd SW,Bemidji,MN,56601,USA,Beltrami,27007,,,CST,Y,(218) 751-8670,,http://www.oakhills.edu,,Private (Not For Profit),4 Years,Rural: Fringe,1,144,11 to 1,,,,,,,,,,,,,
Oakland City University,Associate's degree;Bachelor's degree;Master's degree,138 N Lucretia St,Oakland City,IN,47660,USA,Gibson,18051,,,CST,Y,(812) 749-4781,,http://www.oak.edu,,Private (Not For Profit),4 Years,Town: Distant,1,2550,18 to 1,,,,,,,,,,,,,
Oakland University,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,2200 N Squirrel Rd,Rochester Hills,MI,48309,USA,Oakland,26125,,2160,EST,Y,(248) 370-2100,,http://www.oakland.edu,,Public,4 Years,Suburb: Large,1,18918,21 to 1,,,,,,,,,,,,,
Oakwood University,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,7000 Adventist Blvd NW,Huntsville,AL,35896,USA,Madison,1089,3440,,CST,Y,(256) 726-7000,,http://www.oakwood.edu,,Private (Not For Profit),4 Years,City: Midsize,1,1916,13 to 1,,,,,,,,,,,,,
Oberlin College,Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,70 N Professor St,Oberlin,OH,44074,USA,Lorain,39093,,1680,EST,Y,(440) 775-8411,,http://www.oberlin.edu,,Private (Not For Profit),4 Years,Suburb: Midsize,1,2939,9 to 1,,,,,,,,,,,,,
Oblate School of Theology,Master's degree;Post-master's certificate,285 Oblate Dr,San Antonio,TX,78216,USA,Bexar,48029,7240,,CST,Y,(210) 341-1366,,http://www.ost.edu,,Private (Not For Profit),4 Years,City: Large,0,190,,,,,,,"Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,"Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma - anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution."," Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.",,,
Occidental College,Bachelor's degree;Master's degree,1600 Campus Rd,Los Angeles,CA,90041,USA,Los Angeles,6037,,4480,PST,Y,(323) 259-2500,,http://www.oxy.edu,,Private (Not For Profit),4 Years,City: Large,1,1989,9 to 1,,,,,,,,,,,,,
Oglethorpe University,Bachelor's degree;Master's degree,4484 Peachtree Rd NE,Atlanta,GA,30319,USA,Dekalb,13089,520,,EST,Y,(404) 261-1441,,http://www.oglethorpe.edu,,Private (Not For Profit),4 Years,Suburb: Large,1,1100,16 to 1,,,,,,,,,,,,,
Ohio Christian University,Associate's degree;Bachelor's degree;Master's degree,1476 Lancaster Pike,Circleville,OH,43113,USA,Pickaway,39129,1840,,EST,Y,(740) 474-8896,,http://www.ohiochristian.edu,,Private (Not For Profit),4 Years,Town: Distant,1,1117,13 to 1,,,,,,,,,,,,,
Ohio College of Podiatric Medicine,,6000 Rockside Woods Blvd,Independence,OH,44131,USA,Cuyahoga,39035,,1680,EST,Y,(216) 231-3300,,http://www.ocpm.edu,,Private (Not For Profit),4 Years,Rural: Fringe,0,435,,,,,,,,,,,,,,
Ohio Dominican University,Associate's degree;Bachelor's degree;Master's degree,1216 Sunbury Rd,Columbus,OH,43219,USA,Franklin,39049,1840,,EST,Y,(614) 253-2741,,http://www.ohiodominican.edu,,Private (Not For Profit),4 Years,City: Large,1,3052,13 to 1,,,,,,,,,,,,,
Ohio Northern University,Bachelor's degree;Postbaccalaureate certificate;Master's degree,525 S Main St,Ada,OH,45810,USA,Hardin,39065,,,EST,Y,(419) 772-2000,,http://www.onu.edu/,,Private (Not For Profit),4 Years,Town: Distant,1,3636,12 to 1,,,,,,,,,,,,,
Ohio State University-Lima Campus,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,4240 Campus Dr,Lima,OH,45804,USA,Allen,39003,4320,,EST,Y,(419) 995-8600,,http://www.lima.ohio-state.edu,,Public,4 Years,Rural: Fringe,0,1508,23 to 1,,,,,,,,,,,,,
Ohio State University-Main Campus,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,190 N Oval Mall,Columbus,OH,43210,USA,Franklin,39049,1840,,EST,Y,(614) 292-6446,,http://www.osu.edu,,Public,4 Years,City: Large,1,55014,15 to 1,,,,,,,,,,,,,
Ohio University-Main Campus,Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,154 W 12th Avenue,Buchtel,OH,45701,USA,Athens,39009,,,EST,Y,(740) 593-1000,,http://www.ohio.edu,,Public,4 Years,Rural: Fringe,1,22647,19 to 1,,,,,,,,,,,,,
Ohio Valley University,Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree,1 Campus View Dr,Vienna,WV,26105,USA,Wood,54107,6020,,EST,Y,(304) 865-6000,,http://www.ovu.edu,,Private (Not For Profit),4 Years,Rural: Fringe,1,495,10 to 1,,,,,,,,,,,,,
Ohio Wesleyan University,Bachelor's degree,61 S Sandusky St,Delaware,OH,43015,USA,Delaware,39041,1840,,EST,Y,(740) 368-2000,,http://www.owu.edu/,,Private (Not For Profit),4 Years,Town: Fringe,1,1893,11 to 1,,,,,,,,,,,,,
Ohr Hameir Theological Seminary,Bachelor's degree,141 Furnace Woods Rd,Cortlandt Manor,NY,10567,USA,Westchester,36119,,5600,EST,Y,(914) 736-1500,,,,Private (Not For Profit),4 Years,Suburb: Large,1,92,13 to 1,,,,,,,,,,,,,
Oklahoma Baptist University,One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Master's degree,500 W University St,Shawnee,OK,74804,USA,Pottawatomie,40125,5880,,CST,Y,(405) 275-2850,,http://www.okbu.edu,,Private (Not For Profit),4 Years,Town: Distant,1,1764,13 to 1,,,,,,,,,,,,,
Oklahoma Christian University,Bachelor's degree;Master's degree,2501 E Memorial Rd,Edmond,OK,73013,USA,Oklahoma,40109,5880,,CST,Y,(405) 425-5000,,http://www.oc.edu,,Private (Not For Profit),4 Years,City: Large,1,2171,14 to 1,,,,,,,,,,,,,
Oklahoma City University,Bachelor's degree;Master's degree,2501 N Blackwelder Ave,Oklahoma City,OK,73106,USA,Oklahoma,40109,5880,,CST,Y,(405) 208-5000,,http://www.okcu.edu,,Private (Not For Profit),4 Years,City: Large,1,3829,13 to 1,,,,,,,,,,,,,
Oklahoma Panhandle State University,Associate's degree;Bachelor's degree,323 Eagle Blvd,Goodwell,OK,73939,USA,Texas,40139,,,CST,Y,(580) 349-2611,,http://www.opsu.edu,,Public,4 Years,Rural: Distant,1,1266,16 to 1,,,,,,,,,,,,,
Oklahoma State University Center for Health Sciences,Postbaccalaureate certificate;Master's degree,1111 W 17th St,Tulsa,OK,74107,USA,Tulsa,40143,8560,,CST,Y,(918) 582-1972,,http://www.healthsciences.okstate.edu,,Public,4 Years,City: Large,0,427,,,,,,,,,,,,,,
Oklahoma State University-Main Campus,Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,107 Whitehurst,Stillwater,OK,74074,USA,Payne,40119,,,CST,Y,(405) 744-5000,,http://www.okstate.edu/,,Public,4 Years,Town: Distant,1,23033,18 to 1,,,,,,,,,,,,,
Oklahoma Wesleyan University,Associate's degree;Bachelor's degree;Master's degree,2201 Silver Lake Rd,Bartlesville,OK,74006,USA,Washington,40147,,,CST,Y,(918) 333-6151,,http://www.okwu.edu,,Private (Not For Profit),4 Years,Town: Distant,1,1069,21 to 1,,,,,,,,,,,,,
Old Dominion University,Bachelor's degree;Master's degree;Post-master's certificate,5115 Hampton Blvd,Norfolk,VA,23508,USA,Norfolk City,51710,5720,,EST,Y,(757) 683-3000,,http://www.odu.edu,,Public,4 Years,City: Midsize,1,24013,21 to 1,,,,,,,,,,,,,
Olivet College,Bachelor's degree;Master's degree,320 S Main St,Olivet,MI,49076,USA,Eaton,26045,4040,,EST,Y,(269) 749-7000,,http://www.olivetcollege.edu,,Private (Not For Profit),4 Years,Rural: Distant,1,1202,19 to 1,,,,,,,,,,,,,
Olivet Nazarene University,Associate's degree;Bachelor's degree;Master's degree,1 University Ave,Bourbonnais,IL,60914,USA,Kankakee,17091,,3740,CST,Y,(815) 939-5011,,http://www.olivet.edu,,Private (Not For Profit),4 Years,Suburb: Small,1,4666,13 to 1,,,,,,,,,,,,,
